,id,name,address,symbol,chain,logo,audits,gecko_id,category,chains,module,twitter,forkedFrom,oracles,slug,tvl,chainTvls,change_1h,change_1d,change_7d
2050,1075,SpiritDAO,avax:0xa72eab7327e48bde0ff873eaf1d4fecf6036504f,GHOST,Avalanche,https://icons.llama.fi/spiritdao.png,0,spiritdao-ghost,Reserve Currency,['Avalanche'],spirit-dao/index.js,spirits_dao,['Olympus DAO'],,spiritdao,0.0,"{'Avalanche': 0.0, 'Avalanche-staking': 0.0, 'staking': 0.0}",0.1049066180515581,-0.382717282717266,-0.2265284416263995
2051,1413,Savanna Finance,cronos:0x654bAc3eC77d6dB497892478f854cF6e8245DcA9,SVN,Cronos,https://icons.llama.fi/savannah-finance.png,2,savanna,Algo-Stables,['Cronos'],svn/index.js,MMFcrypto,['Tomb Finance'],[],savanna-finance,0.0,"{'Cronos': 0.0, 'pool2': 0.24, 'Cronos-pool2': 0.24, 'Cronos-staking': 0.13, 'staking': 0.13}",-0.014295302526406317,-1.5339347559423544,-2.112916125344711
2052,665,Multi-Chain Miner,,-,Multi-Chain,https://icons.llama.fi/multi-chain-miner.jpg,0,,Yield,"['Polygon', 'Binance', 'Fantom', 'Avalanche']",multichainMiner.js,multichainminer,,,multi-chain-miner,0.0,"{'Binance': 0.0, 'Avalanche': 0.0, 'Polygon': 0.0, 'Fantom': 0.0}",-0.1666352545612142,-4.605310030449417,-11.93396082172164
2053,2109,PYEswap,bsc:0xb4B486496469B3269c8907543706C377daAA4dD9,PYE,Binance,https://icons.llama.fi/pyeswap.jpg,2,,Dexes,['Binance'],pyeswap/index.js,PyeEcosystem,['Uniswap V2'],[],pyeswap,0.0,{'Binance': 0.0},0.02823381201055497,-4.69876447232447,0.8825473501460834
2054,2431,BrightSide,milkomeda_a1:0x527ad3227063617302d4d76902Df5D96756e1603,BRIGHT,Milkomeda A1,https://icons.llama.fi/brightside.png,0,,Dexes,['Milkomeda A1'],brightside/index.js,BrightSide_fi,['Uniswap V2'],[],brightside,0.0,{'Milkomeda A1': 0.0},-0.41514029728368484,-5.741163948704582,-9.04694678227473
2055,1451,Chintai,eos:CHEX-eos-chexchexchex,CHEX,EOS,https://icons.llama.fi/chintai.png,0,chex-token,Lending,['EOS'],chintai/index.js,ChintaiNetwork,[],[],chintai,0.0,{'EOS': 0.0},0.04762739095467339,-2.284586848448882,5.032475523295616
2056,1533,LIFE,fantom:0x8877E4B70C50CF275C2B77d6a0F69a312F5eE236,LIFE,Fantom,https://icons.llama.fi/life.png,0,,Farm,['Fantom'],life/index.js,DefiFatfire,['Goose Finance'],[],life,0.0,"{'pool2': 0.0, 'Fantom-staking': 0.0, 'Fantom-pool2': 0.0, 'staking': 0.0, 'Fantom': 0.0}",-0.3274305166305993,-3.298325399734935,-4.550198849928535
2057,1406,Cupid Farm,fantom:0xD4C000c09bfeF49ABBd5c3728fcec3a42c68eBa1,ARROWS,Fantom,https://icons.llama.fi/cupid-farm.png,0,cupid-farm,Yield,['Fantom'],cupid/index.js,cupid_farm,['Morpheus Swap'],[],cupid-farm,0.0,"{'pool2': 0.0, 'Fantom-staking': 0.0, 'Fantom-pool2': 0.0, 'staking': 0.0, 'Fantom': 0.0}",-0.2566032786825474,-1.7764273538816013,-0.4490934071724695
2058,1135,Meowswap,bsc:0xE8658B07c555E9604329A6a0A82FF6D9c6F68D2F,MEOW,Binance,https://icons.llama.fi/meowswap.png,2,meowswap,Yield,['Binance'],meowswap/index.js,meowswap,,,meowswap,0.0,"{'Binance': 0.0, 'Binance-staking': 0.0, 'pool2': 0.0, 'Binance-pool2': 0.0, 'staking': 0.0}",-0.0077195708142738795,-1.1350399053555122,-0.0795274517482909
2059,1982,XCarnival,0x493CbBd4A5da462E3dbc3E5c8e2A1E37D1D03CAc,XCV,Ethereum,https://icons.llama.fi/xcarnival.jpg,2,xcarnival,NFT Lending,['Ethereum'],xcarnival/index.js,XCarnival_Lab,[],['TWAP'],xcarnival,0.0,"{'Ethereum': 0.0, 'Ethereum-borrowed': 0.0, 'borrowed': 0.0}",-0.11452301698579959,-2.387900467538998,-97.96272046199225
