market_cap_rank,id,symbol,name,market_cap_sum,market_cap_avg,market_cap_median,total_volume_sum,total_volume_avg,total_volume_median,Price_Change_24h_avg,Price_Change_24h_median,Price_Change_7d_avg,Price_Change_7d_median,Price_Change_30d_avg,Price_Change_30d_median,Price_Change_200d_avg,Price_Change_200d_median,Price_Change_1y_avg,Price_Change_1y_median
33,lido-dao,ldo,Lido DAO,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
34,quant-network,qnt,Quant,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
35,aptos,apt,Aptos,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
36,hedera-hashgraph,hbar,Hedera,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
37,crypto-com-chain,cro,Cronos,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
38,vechain,vet,VeChain,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
39,arbitrum,arb,Arbitrum,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
40,near,near,NEAR Protocol,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
41,the-graph,grt,The Graph,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
42,apecoin,ape,ApeCoin,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
43,algorand,algo,Algorand,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
44,paxos-standard,usdp,Pax Dollar,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
45,frax,frax,Frax,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
46,edgecoin-2,edgt,Edgecoin,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
47,the-sandbox,sand,The Sandbox,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
48,eos,eos,EOS,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
49,rocket-pool,rpl,Rocket Pool,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
50,aave,aave,Aave,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
51,elrond-erd-2,egld,MultiversX,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
52,render-token,rndr,Render,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
53,optimism,op,Optimism,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
54,fantom,ftm,Fantom,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
56,tezos,xtz,Tezos,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
55,decentraland,mana,Decentraland,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
57,theta-token,theta,Theta Network,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
58,blockstack,stx,Stacks,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
59,axie-infinity,axs,Axie Infinity,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
60,rocket-pool-eth,reth,Rocket Pool ETH,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
61,flow,flow,Flow,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
62,havven,snx,Synthetix Network,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
63,usdd,usdd,USDD,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
65,bitdao,bit,BitDAO,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
64,immutable-x,imx,ImmutableX,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
66,neo,neo,NEO,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
67,kucoin-shares,kcs,KuCoin,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
68,gala,gala,GALA,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
69,whitebit,wbt,WhiteBIT Token,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
70,radix,xrd,Radix,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
72,curve-dao-token,crv,Curve DAO,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
71,gatechain-token,gt,Gate,1168015.59,2336.03,109.1,54615.67,109.23,2.96,-2.82,-3.23,0.21,-0.86,-8.27,-12.09,38.97,3.72,42037.59,-36.8
