,id,name,symbol,chain,chains,slug,tvl,chainTvls
695,121,CREAM Lending,CREAM,Multi-Chain,"['Binance', 'Ethereum', 'Polygon', 'Arbitrum']",cream-lending,2.28,"{'Arbitrum-borrowed': 0.01, 'Polygon-borrowed': 0.06, 'Binance-borrowed': 0.56, 'Binance': 1.82, 'Ethereum': 0.26, 'Polygon': 0.17, 'Arbitrum': 0.02, 'borrowed': 0.63}"
696,1455,ClaimSwap,CLA,Klaytn,['Klaytn'],claimswap,2.27,"{'Klaytn-staking': 0.16, 'Klaytn': 2.27, 'staking': 0.16}"
697,375,Nerve Staking,NVT,Nuls,['Nuls'],nerve-staking,2.27,{'Nuls': 2.27}
698,1688,Olive,-,Multi-Chain,"['Arbitrum', 'Polygon', 'Ethereum']",olive,2.26,"{'Ethereum': 0.11, 'Polygon': 0.32, 'Arbitrum': 1.83}"
699,2818,Tonpound,TPI,Ethereum,['Ethereum'],tonpound,2.25,"{'Ethereum': 2.25, 'Ethereum-borrowed': 0.18, 'borrowed': 0.18}"
700,1353,Kalmy App,KALM,Multi-Chain,"['Binance', 'Avalanche', 'Fantom']",kalmy-app,2.24,"{'Fantom-staking': 0.48, 'Binance': 2.21, 'Binance-staking': 3.67, 'Avalanche': 0.02, 'Avalanche-staking': 0.35, 'Fantom': 0.01, 'staking': 4.49}"
701,296,Zookeeper,ZOO,Multi-Chain,"['Wanchain', 'Avalanche']",zookeeper,2.24,"{'Wanchain': 1.55, 'Avalanche': 0.69}"
702,1885,XY Finance,XY,Multi-Chain,"['Binance', 'zkSync Era', 'Ethereum', 'Arbitrum', 'Polygon', 'Cronos', 'Avalanche', 'Kucoin', 'Astar', 'Klaytn', 'ThunderCore', 'Polygon zkEVM', 'Optimism', 'Moonriver', 'WEMIX', 'Fantom']",xy-finance,2.23,"{'Optimism': 0.08, 'Polygon zkEVM': 0.09, 'Cronos': 0.13, 'Moonriver': 0.0, 'Klaytn': 0.11, 'Kucoin': 0.12, 'ThunderCore': 0.1, 'Binance': 0.39, 'Ethereum': 0.24, 'zkSync Era': 0.36, 'Astar': 0.11, 'Avalanche': 0.13, 'Polygon': 0.19, 'Arbitrum': 0.2, 'WEMIX': 0.0, 'Fantom': 0.0}"
703,845,Axial,AXIAL,Avalanche,['Avalanche'],axial,2.23,"{'Avalanche': 2.23, 'pool2': 0.01, 'Avalanche-pool2': 0.01}"
704,749,BenSwap,EBEN,Multi-Chain,"['smartBCH', 'Binance']",benswap,2.23,"{'Binance': 0.12, 'smartBCH-staking': 0.55, 'Binance-staking': 0.23, 'smartBCH': 2.11, 'staking': 0.78}"
705,2400,Solidly V2,SOLID,Ethereum,['Ethereum'],solidly-v2,2.22,"{'Ethereum': 2.22, 'Ethereum-staking': 28.2, 'staking': 28.2}"
706,1628,SingularityDAO,SDAO,Multi-Chain,"['Ethereum', 'Binance']",singularitydao,2.22,"{'pool2': 0.23, 'Binance-pool2': 0.07, 'Ethereum-pool2': 0.16, 'Binance': 0.16, 'Ethereum': 2.05, 'Binance-staking': 3.59, 'Ethereum-staking': 21.49, 'staking': 25.09}"
707,1191,Katana,-,Solana,['Solana'],katana,2.21,{'Solana': 2.21}
708,1486,Fountain Protocol,FTP,Oasis,['Oasis'],fountain-protocol,2.2,"{'Oasis-borrowed': 2.19, 'Oasis': 2.2, 'borrowed': 2.19}"
709,1820,Unipilot,PILOT,Multi-Chain,"['Ethereum', 'Arbitrum', 'Polygon']",unipilot,2.2,"{'Ethereum': 1.57, 'Polygon': 0.24, 'Ethereum-staking': 0.87, 'Arbitrum': 0.38, 'staking': 0.87}"
710,324,Unicly,UNIC,Ethereum,['Ethereum'],unicly,2.18,{'Ethereum': 2.18}
711,679,UniFarm,UFARM,Multi-Chain,"['Ethereum', 'Binance', 'Polygon']",unifarm,2.18,"{'Binance': 0.07, 'Ethereum': 2.07, 'Polygon': 0.05}"
712,915,Definix,FINIX,Multi-Chain,"['Binance', 'Klaytn']",definix,2.18,"{'Binance': 1.19, 'Klaytn': 0.99}"
713,2843,Sovryn Lend,SOV,RSK,['RSK'],sovryn-lend,2.16,"{'RSK-borrowed': 1.16, 'RSK': 2.16, 'borrowed': 1.16}"
714,2804,Forge,-,Evmos,['Evmos'],forge,2.16,{'Evmos': 2.16}
715,1609,Proton Swap,-,Proton,['Proton'],proton-swap,2.15,{'Proton': 2.15}
716,350,CVI Finance,GOVI,Multi-Chain,"['Arbitrum', 'Polygon', 'Ethereum']",cvi-finance,2.15,"{'pool2': 0.91, 'Polygon-pool2': 0.03, 'Arbitrum-staking': 0.61, 'Ethereum-pool2': 0.88, 'Ethereum': 0.11, 'Ethereum-staking': 0.06, 'Polygon': 0.39, 'Polygon-staking': 1.27, 'Arbitrum': 1.66, 'staking': 1.95}"
717,833,ZoomSwap,ZM,IoTeX,['IoTeX'],zoomswap,2.14,"{'IoTeX': 2.14, 'pool2': 0.07, 'IoTeX-staking': 0.02, 'IoTeX-pool2': 0.07, 'staking': 0.02}"
718,2852,Solunea,-,Multi-Chain,"['Arbitrum', 'zkSync Era']",solunea,2.13,"{'zkSync Era': 0.38, 'Arbitrum': 1.75}"
719,2867,Ensuro,-,Polygon,['Polygon'],ensuro,2.13,{'Polygon': 2.13}
720,221,Defi Swap,CRO,Ethereum,['Ethereum'],defi-swap,2.12,{'Ethereum': 2.12}
721,1804,Zeta,-,Solana,['Solana'],zeta,2.11,{'Solana': 2.11}
722,2956,Affine DeFi,-,Multi-Chain,"['Polygon', 'Ethereum']",affine-defi,2.11,"{'Ethereum': 0.03, 'Polygon': 2.08}"
